UID|GID|JobIDRaw|Group|Account|JobName|TimelimitRaw|Submit|Start|End|State|ExitCode|ReservationId|Reservation|Priority|Eligible|Constraints|SystemCPU|CPUTimeRAW|ElapsedRaw|Layout|NTasks|QOSREQ|QOS|Restarts|WorkDir|ConsumedEnergyRaw|FailedNode|AveDiskRead|AveDiskWrite|MaxDiskRead|MaxDiskWrite|Partition|Reason|Suspended|AllocNodes|AveRSS|MaxRSS|DerivedExitCode|AveVMSize|MaxVMSize|ReqMem|ReqNodes|NNodes|Planned|PlannedCPURAW|NCPUS|UserCPU|ReqCPUS|TotalCPU|TRESUsageInTot|TRESUsageOutTot|ReqTRES|AllocTRES|TRESUsageInMax|TRESUsageOutMax|Flags|Comment|SystemComment|AdminComment
1013|1013|4460|test_user14|testing|test_user14-I9Ks|2|2025-07-31T09:50:16|2025-07-31T09:50:17|2025-07-31T09:52:20|TIMEOUT|0:0|1|system_testing|86400|2025-07-31T09:50:16||00:00:00|110208|123||||normal|0|/home/test_user14/stochsimsched|||||||batch-cpu|None|00:00:00|7|||0:15|||7M|7|7|00:00:01|448|896|00:00:00|448|00:00:00|||billing=448,cpu=448,mem=7M,node=7|billing=896,cpu=896,node=7|||SchedMain,StartReceived|||
||4460.batch||testing|batch||2025-07-31T09:50:17|2025-07-31T09:50:17|2025-07-31T09:52:21|CANCELLED|0:15||||2025-07-31T09:50:17||00:00:00|7936|124|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||4460.extern||testing|extern||2025-07-31T09:50:17|2025-07-31T09:50:17|2025-07-31T09:52:22|COMPLETED|0:0||||2025-07-31T09:50:17||00:00:00|112000|125|Unknown|7|||||0||||||||00:00:00|7|||||||7|7|||896|00:00:00|896|00:00:00||||billing=896,cpu=896,node=7||||||
||4460.0||testing|mpicatnap||2025-07-31T09:50:18|2025-07-31T09:50:18|2025-07-31T09:52:22|CANCELLED|0:15||||2025-07-31T09:50:18||00:00:00|55552|124|Block|448|||||0||||||||00:00:00|7|||||||7|7|||448|00:00:00|448|00:00:00||||cpu=448,mem=0,node=7||||||
1010|1010|4461|test_user11|testing|test_user11-kAVV|5|2025-07-31T09:50:16|2025-07-31T09:50:17|2025-07-31T09:50:31|PREEMPTED|0:0|1|system_testing|86400|2025-07-31T09:50:16||00:00:00|5376|14||||normal|0|/home/test_user11/stochsimsched|||||||batch-cpu|None|00:00:00|3|||0:15|||3M|3|3|00:00:01|192|384|00:00:00|192|00:00:00|||billing=192,cpu=192,mem=3M,node=3|billing=384,cpu=384,node=3|||SchedMain,StartReceived|||
||4461.batch||testing|batch||2025-07-31T09:50:17|2025-07-31T09:50:17|2025-07-31T09:50:32|CANCELLED|0:15||||2025-07-31T09:50:17||00:00:00|960|15|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||4461.extern||testing|extern||2025-07-31T09:50:17|2025-07-31T09:50:17|2025-07-31T09:50:33|COMPLETED|0:0||||2025-07-31T09:50:17||00:00:00|6144|16|Unknown|3|||||0||||||||00:00:00|3|||||||3|3|||384|00:00:00|384|00:00:00||||billing=384,cpu=384,node=3||||||
||4461.0||testing|mpicatnap||2025-07-31T09:50:18|2025-07-31T09:50:18|2025-07-31T09:50:33|CANCELLED|0:15||||2025-07-31T09:50:18||00:00:00|2880|15|Block|192|||||0||||||||00:00:00|3|||||||3|3|||192|00:00:00|192|00:00:00||||cpu=192,mem=0,node=3||||||
1003|1003|4462|test_user4|testing|test_user4-9waG|3|2025-07-31T09:50:16|2025-07-31T09:50:17|2025-07-31T09:52:55|PREEMPTED|0:0|1|system_testing|86400|2025-07-31T09:50:16||00:00:00|141568|158||||normal|0|/home/test_user4/stochsimsched|||||||batch-cpu|None|00:00:00|7|||0:15|||7M|7|7|00:00:01|448|896|00:00:00|448|00:00:00|||billing=448,cpu=448,mem=7M,node=7|billing=896,cpu=896,node=7|||SchedMain,StartReceived|||
||4462.batch||testing|batch||2025-07-31T09:50:17|2025-07-31T09:50:17|2025-07-31T09:52:57|CANCELLED|0:15||||2025-07-31T09:50:17||00:00:00|10240|160|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
